{
# 公众号配置
# 公众号appId
"app_id": "wx08796869945fbb9c",
# 公众号appSecret
"app_secret": "f4d731ee7c87436b08f608127a91bb06",
# 模板消息id
"template_id": "RL26fhDguNTbF0-1BLXAN2ptFuzBsmzOdqq-XFjLNOg",
# 接收公众号消息的微信号，如果有多个，需要在[]里用英文逗号间隔，例如["wx1", "wx2"]
"user": ["ovudB6VLNv_mr4vWzmTSL-4tJwNo"],

# 信息配置
# 和风天气apikey
"weather_key": "d564813913b34ed6bcbc014a65190d8f",
# 天行数据apikey
"tian_api": "d7694ecd25d7d84864cf8dc3175a5b2e",
# 所在地区，可为省，城市，区，县，同时支持国外城市，例如伦敦(国外城市可能获取不到pm2.5，空气质量，今日建议等数据)
"region": "杭州",
# 生日
"birthday1": {"name": "灿灿小朋友", "birthday": "2002-10-06"},
# 在一起的日子，格式同上
"love_date": "2022-09-11",
# 金句中文，如果为空，默认会读取金山的每日金句
"note_ch": "",
# 金句英文
"note_en": ""
}
